Population,colorNr,symbolNr
BolshoyOleniOstrov,black,0
BolshoyOleniOstrov,black,1
BolshoyOleniOstrov,black,2
BolshoyOleniOstrov,black,3
BolshoyOleniOstrov,black,4
BolshoyOleniOstrov,black,5
ChalmnyVarre,black,6
ChalmnyVarre,black,7
JK1963,black,8
JK1967,black,9
Levanluhta,black,10
Levanluhta,black,11
JK2065,black,12
JK2066,black,13
JK2067,black,14
ModernSaami,black,15
Finnish,purple4,0
Saami.DG,purple4,1
Saami_WGA,purple4,2
Nganasan,purple4,3
Mansi,purple4,4
Hungarian,purple4,5
Estonian,purple4,6
Mordovian,purple4,7
Selkup,purple4,8
Albanian,dodgerblue3,0
Basque,dodgerblue3,1
Bulgarian,dodgerblue3,2
Greek,dodgerblue3,3
Cypriot,dodgerblue3,4
Croatian,dodgerblue3,5
Italian_North,dodgerblue3,6
Italian_South,dodgerblue3,7
Maltese,dodgerblue3,8
Canary_Islander,dodgerblue3,9
Sardinian,dodgerblue3,10
Sicilian,dodgerblue3,11
Spanish,dodgerblue3,12
Spanish_North,dodgerblue3,13
Belarusian,orangered3,0
Czech,orangered3,1
English,orangered3,2
French,orangered3,3
Icelandic,orangered3,4
Lithuanian,orangered3,5
Norwegian,orangered3,6
Orcadian,orangered3,7
Russian,orangered3,8
Scottish,orangered3,9
Ukrainian,orangered3,10
Abkhasian,darkgreen,0
Adygei,darkgreen,1
Armenian,darkgreen,2
Chechen,darkgreen,3
Avar.SG,darkgreen,4
Lezgin,darkgreen,5
Kumyk,darkgreen,6
North_Ossetian.DG,darkgreen,7
Kurd_WGA,darkgreen,8
Azeri_WGA,darkgreen,9
Balkar,darkgreen,10
Kalmyk,darkgreen,11
Kyrgyz,darkgreen,12
Nogai,darkgreen,13
Tajik,darkgreen,14
Turkish,darkgreen,15
Turkmen,darkgreen,16
Uygur,darkgreen,17
Uzbek,darkgreen,18
BedouinA,tan1,0
BedouinB,tan1,1
Druze,tan1,2
Georgian,tan1,3
Iranian,tan1,4
Jew_Ashkenazi,tan1,5
Jew_Georgian,tan1,6
Jew_Iranian,tan1,7
Jew_Iraqi,tan1,8
Jew_Libyan,tan1,9
Jew_Moroccan,tan1,10
Jew_Tunisian,tan1,11
Jew_Turkish,tan1,12
Jew_Yemenite,tan1,13
Jordanian,tan1,14
Palestinian,tan1,15
Saudi,tan1,16
Syrian,tan1,17
Lebanese,tan1,18
Altaian,olivedrab3,0
Buryat.SG,olivedrab3,1
Tubalar,olivedrab3,2
Tuvinian,olivedrab3,3
Oroqen,olivedrab3,4
Daur,olivedrab3,5
Hezhen,olivedrab3,6
Even,olivedrab3,7
Mongola,olivedrab3,8
Ulchi,olivedrab3,9
Yukagir,olivedrab3,10
Chuvash,olivedrab3,11
Yakut,olivedrab3,12
Dolgan,olivedrab3,13
Ami,peru,0
Atayal,peru,1
Tu,peru,2
Tujia,peru,3
Xibo,peru,4
Yi,peru,5
Han,peru,6
Japanese,peru,7
Korean,peru,8
Miao,peru,9
Naxi,peru,10
Semende,plum1,0
Thai,plum1,1
Lahu,plum1,2
Kinh,plum1,3
She,plum1,4
Borneo,plum1,5
Cambodian,plum1,6
Dai,plum1,7
Sherpa.DG,plum1,8
Tibetan.DG,plum1,9
Brahui,turquoise,0
Balochi,turquoise,1
Hazara,turquoise,2
Makrani,turquoise,3
Pathan,turquoise,4
Kalash,turquoise,5
Mala,turquoise,6
Baltic_BA,deeppink,0
Baltic_CCC,deeppink,1
Baltic_CWC,deeppink,2
Baltic_LN,deeppink,3
EHG,deeppink,4
Kunda,deeppink,5
Latvia_HG3,deeppink,6
Latvia_MN1,deeppink,7
Narva,mediumblue,1
Scandinavia_LNBA,mediumblue,0
SHG,mediumblue,1
Ukraine_HG1,mediumblue,2
Ukraine_N1,mediumblue,3
PWC_Sweden_NHG.SG,mediumblue,4
TRB_Sweden_MN.SG,mediumblue,5
Sweden_HG.SG,mediumblue,6
EN_TRB,mediumblue,7
